"Time","breathlessness"
"2021-07-01",85
"2021-08-01",89
"2021-09-01",86
"2021-10-01",83
"2021-11-01",82
"2021-12-01",93
"2022-01-01",100
"2022-02-01",94
"2022-03-01",91
"2022-04-01",84
"2022-05-01",81
"2022-06-01",75
"2022-07-01",71
"2022-08-01",72
"2022-09-01",69
"2022-10-01",83
"2022-11-01",80
"2022-12-01",73
"2023-01-01",81
"2023-02-01",75
"2023-03-01",89
"2023-04-01",87
"2023-05-01",81
"2023-06-01",71
"2023-07-01",68
"2023-08-01",72
"2023-09-01",67
"2023-10-01",69
"2023-11-01",77
"2023-12-01",74
"2024-01-01",75
"2024-02-01",88
"2024-03-01",80
"2024-04-01",77
"2024-05-01",72
"2024-06-01",68
"2024-07-01",67
"2024-08-01",63
"2024-09-01",66
"2024-10-01",77
"2024-11-01",68
"2024-12-01",66
"2025-01-01",80
"2025-02-01",80
"2025-03-01",75
"2025-04-01",75
"2025-05-01",65
"2025-06-01",74
"2025-07-01",67
"2025-08-01",63
"2025-09-01",73
"2025-10-01",74
"2025-11-01",72
"2025-12-01",75
"2026-01-01",80
"2026-02-01",86
"2026-03-01",92
"2026-04-01",91
"2026-05-01",80
"2026-06-01",72
