"Time","chest pain when breathing"
"2021-07-01",80
"2021-08-01",76
"2021-09-01",85
"2021-10-01",82
"2021-11-01",80
"2021-12-01",93
"2022-01-01",85
"2022-02-01",88
"2022-03-01",80
"2022-04-01",84
"2022-05-01",76
"2022-06-01",71
"2022-07-01",77
"2022-08-01",76
"2022-09-01",75
"2022-10-01",82
"2022-11-01",84
"2022-12-01",84
"2023-01-01",92
"2023-02-01",81
"2023-03-01",81
"2023-04-01",77
"2023-05-01",86
"2023-06-01",67
"2023-07-01",73
"2023-08-01",79
"2023-09-01",82
"2023-10-01",87
"2023-11-01",82
"2023-12-01",93
"2024-01-01",100
"2024-02-01",95
"2024-03-01",76
"2024-04-01",86
"2024-05-01",72
"2024-06-01",71
"2024-07-01",78
"2024-08-01",74
"2024-09-01",75
"2024-10-01",89
"2024-11-01",81
"2024-12-01",92
"2025-01-01",90
"2025-02-01",83
"2025-03-01",87
"2025-04-01",82
"2025-05-01",70
"2025-06-01",70
"2025-07-01",72
"2025-08-01",63
"2025-09-01",58
"2025-10-01",74
"2025-11-01",76
"2025-12-01",88
"2026-01-01",73
"2026-02-01",76
"2026-03-01",98
"2026-04-01",77
"2026-05-01",66
"2026-06-01",64
